N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
1,FUENCARRAL,,,
2,ARENAL,225.0,23%,12
3,GRAN VIA (MADRID),,,
4,PRECIADOS,,,
6,H2 OCIO TIENDA,,,
8,GRAN PLAZA TIENDA,,,
11,PLAZA NORTE TIENDA,,,
12,LA VAGUADA ,,,
15,NUEVA CONDOMINA MURCIA,,,
17,PLAZA MAR 2 ALICANTE ,,,
19,MALLORCA PORTO PI,,,
22,CC ALJUB (ELCHE),,,
23,CC LA VITAL (GANDIA),,,
24,SALAMANCA,,,
25,MALLORCA FAN,,,
26,VALENCIA AYUNTAMIENTO,,,
221,LOS FRESNOS GIJON,,,
28,CC ARTEA,,,
29,CC ITAROA,,,
31,CC GRANCASA (ZARAGOZA),,,
32,LOGROÑO (BERCEO TIENDA),,,
33,PRINCIPE PIO (TIENDA),,,
34,PARDIÑAS (SANTIAGO CENTRO),,,
35,EL SALER (VALENCIA),,,
36,TOLEDO (C- COMERCIO 39),,,
37,LA FIRA  (REUS),,,
38,GRAN  VIA 2 - (BARCELONA),,,
39,SANTANDER CENTRO,,,
41,CC OESTE K5 (MAJADAHONDAS),,,
42,GOYA,,,
43,GIJON CENTRO,,,
44,VITORIA CENTRO,,,
45,CC AS CANCELAS (SANTIAGO),,,
46,CC BAHIA SUR  ,,,
47,CC PLAZA DE LORANCA ,,,
48,CC LARIOS ,,,
49,CORDOBA (CRUZ CONDE),,,
51,LOGROÑO CENTRO,,,
52,CC LOS ARCOS ,,,
53,CC VALLSUR  ,,,
54,CC RUTA DE LA PLATA ,,,
55,CC SAMBIL OUTLET,,,
98,TARAS,,,
57,SALAMANCA CC EL TORMES,,,
58,MALAGA CENTRO ,,,
59,CALLE CHAPITELA (PAMPLONA),,,
61,CC MAX CENTER ,,,
62,COLON,,,
63,TENERIFE  LA VILLA 2,,,
64,C- FERRAN 51 (BARCELONA),,,
65,VIGO CENTRO,,,
68,XANADU TIENDA,,,
69,CC ODEON (FERROL),,,
72,ESPACIO LEON,,,
73,CC VALLE REAL ,,,
76,GRANADA C-RECOGIDAS 20 LOCAL 3A,,,
77,AIRESUR SEVILLA ,,,
78,GRAN VIA (VIGO),,,
79,AV. CARLOS III (PAMPLONA),,,
81,CC ALBACENTER,,,
82,AÑAZA TENERIFE,,,
83,PUERTO VENECIA TIENDA,,,
84,CIUDAD REAL CENTRO,,,
85,C-URIA  (OVIEDO),,,
86,CC JAEN PLAZA (JAEN),,,
224,CC SIAM MALL,,,
87,LLEIDA,,,
88,ZARAGOZA CENTRO,,,
225,PUERTO VENECIA ZARAGOZA STAND,,,
89,MAISONNAVE ALICANTE,,,
92,CC MARINEDA CITY,,,
93,PLENILUNIO LC 155,,,
94,CC EL FARO (BADAJOZ),,,
95,PARQUE COMERCIAL MENDIBIL,,,
96,PARC CENTRAL,,,
101,PARQUE COMERCIAL TXINGUDI,,,
102,CC ANNEC BLAU,,,
103,CC PONTE VELLA (ORENSE),,,
104,CC TORRECARDENAS,,,
105,DIAGONAL MAR,,,
106,CC SALERAS,,,
107,CC MAQUINISTA,,,
109,BADALONA CENTRO,,,
111,CALLE SAN MIGUEL - MALLORCA,,,
112,CC URBIL,,,
113,GUADALAJARA TIENDA,,,
114,C-TRIANA (LAS PALMAS G.C),,,
115,CC MERIDIANO,,,
303,JEREZ CARREFOUR,,,
116,C-CONDE PEÑALVER,,,
117,CC LAS ARENAS (LAS PALMAS G.C),,,
118,SABADEL CENTRO (RAMBLA 18),,,
401,T4 - LADO AIRE (AEROPUERTO MADRID),,,
119,HUELVA CENTRO,,,
122,CC PORTAL DE LA MARINA (ONDARA),,,
126,CC VITORIA BOULEVARD,,,
121,CC HOLEA (HUELVA),,,
124,PLAYA DE ARO,,,
127,CASTELLON CENTRO,,,
128,LUGO CENTRO (C-LA REINA),,,
129,CC MOGAN MALL,,,
402,T4 - LADO TIERRA (AEROPUERTO MADRID),,,
131,CC EL ROSAL (Ponferrada),,,
132,CC SANT CUGAT,,,
133,CC AS TERMAS (LUGO),,,
134,GRANOLLERS,,,
135,CC FINSTRELLES ,,,
136,CC ESPACIO MEDITERRANEO,,,
137,CC LAGOH PALMAS ALTAS,,,
139,CC BARICENTRO,,,
138,CC BIOSFERA (LANZAROTE),,,
141,CALLE SIERPES (SEVILLA),,,
147,CC BALLONTI,,,
146,RONDA,,,
142,CALLE ORENSE,,,
143,MERIDA,,,
144,CC GAVIA  T. (NUEVA),,,
145,CC EL FERIAL (PARLA),,,
601,FERNANDEZ TOMAS (OPORTO CENTRO),,,
602,AQUA PORTIMAO ,,,
151,BENIDORM - C-MARTINEZ ALEJO,,,
603,CC PARQUE NASCENTE (Rio tinto),,,
604,CC UBBO  (LISBOA),,,
605,CC ALMA SHOPPING,,,
606,NOSSO SHOPPING (VILA REAL),,,
149,CC LAS ROTONDAS (FUERTEVENTURA),,,
152,ZAMORA (C-Santa Clara),,,
154,SITGES,,,
